genus,tribe,subfamily,fmcs_species,ecos_scientific_name,ecos_common_name,ecos_esa_listing_status,ecos_esa_listing_date,listed_under_diff_name,Haag_2012_extinct,con_status_simp
Amblema,Amblemini,Ambleminae,Amblema elliottii,,,,,,,Stable
Amblema,Amblemini,Ambleminae,Amblema neislerii,Amblema neislerii,Fat threeridge (mussel),Endangered,3/16/98,,,Imperiled
Amblema,Amblemini,Ambleminae,Amblema plicata,Amblema plicata,Threeridge Mussel,Not Listed,,,,Stable
Plectomerus,Amblemini,Ambleminae,Plectomerus dombeyanus,,,,,,,Stable
Reginaia,Amblemini,Ambleminae,Reginaia apalachicola,,,,,,,Stable
Reginaia,Amblemini,Ambleminae,Reginaia ebenus,Fusconaia ebena,Ebonyshell,Not Listed,,,,Stable
Reginaia,Amblemini,Ambleminae,Reginaia rotulata,Reginaia rotulata,Round Ebonyshell,Endangered,10/10/12,,,Imperiled
Alasmidonta,Anodontini,Unioninae,Alasmidonta arcula,Alasmidonta arcula,Altamaha arc-mussel,Not Listed,,,,Stable
Alasmidonta,Anodontini,Unioninae,Alasmidonta atropurpurea,Alasmidonta atropurpurea,Cumberland elktoe,Endangered,1/10/97,,,Imperiled
Alasmidonta,Anodontini,Unioninae,Alasmidonta heterodon,Alasmidonta heterodon,Dwarf wedgemussel,Endangered,3/14/90,,,Imperiled
Alasmidonta,Anodontini,Unioninae,Alasmidonta marginata,Alasmidonta marginata,[Unnamed] elktoe,Species of Concern,,,,Stable
Alasmidonta,Anodontini,Unioninae,Alasmidonta mccordi,Alasmidonta mccordi,Coosa elktoe,Resolved Taxon,,,TRUE,Imperiled
Alasmidonta,Anodontini,Unioninae,Alasmidonta raveneliana,Alasmidonta raveneliana,Appalachian elktoe,Endangered,11/23/94,,,Imperiled
Alasmidonta,Anodontini,Unioninae,Alasmidonta robusta,Alasmidonta robusta,Carolina elktoe,Resolved Taxon,,,,Stable
Alasmidonta,Anodontini,Unioninae,Alasmidonta triangulata,Alasmidonta triangulata,Southern elktoe,Proposed Endangered,,,,Stable
Alasmidonta,Anodontini,Unioninae,Alasmidonta undulata,Alasmidonta undulata,Triangle Floater,Not Listed,,,,Stable
Alasmidonta,Anodontini,Unioninae,Alasmidonta varicosa,Alasmidonta varicosa,Brook floater,Resolved Taxon,,,,Stable
Alasmidonta,Anodontini,Unioninae,Alasmidonta viridis,Alasmidonta viridis,Slippershell Mussel,Not Listed,,,,Stable
Alasmidonta,Anodontini,Unioninae,Alasmidonta wrightiana,Alasmidonta wrightiana,Florida arc-mussel,Species of Concern,,,TRUE,Imperiled
Anodonta,Anodontini,Unioninae,Anodonta californiensis,Anodonta californiensis,California floater,Resolved Taxon,,,,Stable
Anodonta,Anodontini,Unioninae,Anodonta kennerlyi,Anodonta kennerlyi,Western Floater,Not Listed,,,,Stable
Anodonta,Anodontini,Unioninae,Anodonta nuttalliana,Anodonta nuttalliana,Winged Floater,Not Listed,,,,Stable
Anodonta,Anodontini,Unioninae,Anodonta oregonensis,Anodonta oregonensis,Oregon Floater,Not Listed,,,,Stable
Anodontoides,Anodontini,Unioninae,Anodontoides denigratus,Anodontoides denigrata,Cumberland papershell,Species of Concern,,,,Stable
Anodontoides,Anodontini,Unioninae,Anodontoides ferussacianus,Anodontoides ferussacianus,Cylindrical Papershell,Not Listed,,,,Stable
Arcidens,Anodontini,Unioninae,Arcidens confragosus,Arcidens confragosus,Rock Pocketbook,Not Listed,,,,Stable
Arcidens,Anodontini,Unioninae,Arcidens wheeleri,Arcidens wheeleri,Ouachita rock pocketbook,Endangered,10/23/91,,,Imperiled
Beringiana,Anodontini,Unioninae,Beringiana beringiana,Anodonta beringiana,Yukon Floater Mussel,Not Listed,,,,Stable
Lasmigona,Anodontini,Unioninae,Lasmigona alabamensis,,,,,,,Stable
Lasmigona,Anodontini,Unioninae,Lasmigona complanata,Lasmigona complanata,White Heelsplitter,Not Listed,,,,Stable
Lasmigona,Anodontini,Unioninae,Lasmigona compressa,,,,,,,Stable
Lasmigona,Anodontini,Unioninae,Lasmigona costata,Lasmigona costata,Fluted-Shell,Not Listed,,,,Stable
Lasmigona,Anodontini,Unioninae,Lasmigona decorata,Lasmigona decorata,Carolina heelsplitter,Endangered,6/30/93,,,Imperiled
Lasmigona,Anodontini,Unioninae,Lasmigona etowaensis,,,,,,,Stable
Lasmigona,Anodontini,Unioninae,Lasmigona holstonia,Lasmigona holstonia,Tennessee heelsplitter,Resolved Taxon,,,,Stable
Lasmigona,Anodontini,Unioninae,Lasmigona subviridis,Lasmigona subviridis,Green floater,Proposed Threatened,,,,Stable
Pegias,Anodontini,Unioninae,Pegias fabula,Pegias fabula,Littlewing pearlymussel,Endangered,11/14/88,,,Imperiled
Pseudodontoideus,Anodontini,Unioninae,Pseudodontoideus connasaugaensis,,,,,,,Stable
Pseudodontoideus,Anodontini,Unioninae,Pseudodontoideus subvexus,,,,,,,Stable
Pyganodon,Anodontini,Unioninae,Pyganodon cataracta,Pyganodon cataracta,Eastern Floater,Not Listed,,,,Stable
Pyganodon,Anodontini,Unioninae,Pyganodon fragilis,,,,,,,Stable
Pyganodon,Anodontini,Unioninae,Pyganodon gibbosa,Pyganodon gibbosa,Inflated floater,Not Listed,,,,Stable
Pyganodon,Anodontini,Unioninae,Pyganodon grandis,Pyganodon grandis,Giant Floater,Not Listed,,,,Stable
Pyganodon,Anodontini,Unioninae,Pyganodon lacustris,,,,,,,Stable
Simpsonaias,Anodontini,Unioninae,Simpsonaias ambigua,Simpsonaias ambigua,Salamander mussel,Proposed Endangered,,,,Stable
Strophitus,Anodontini,Unioninae,Strophitus pascagoulaensis,,,,,,,Stable
Strophitus,Anodontini,Unioninae,Strophitus radiatus,Anodontoides radiatus,Rayed creekshell,Not Listed,,,,Stable
Strophitus,Anodontini,Unioninae,Strophitus undulatus,Strophitus undulatus,Creeper,Not Listed,,,,Stable
Strophitus,Anodontini,Unioninae,Strophitus williamsi,,,,,,,Stable
Utterbackia,Anodontini,Unioninae,Utterbackia imbecillis,,,,,,,Stable
Utterbackia,Anodontini,Unioninae,Utterbackia peggyae,,,,,,,Stable
Utterbackia,Anodontini,Unioninae,Utterbackia peninsularis,,,,,,,Stable
Utterbackiana,Anodontini,Unioninae,Utterbackiana couperiana,,,,,,,Stable
Utterbackiana,Anodontini,Unioninae,Utterbackiana hartfieldorum,,,,,,,Stable
Utterbackiana,Anodontini,Unioninae,Utterbackiana heardi,Anodonta heardi,Apalachicola floater,Status Undefined,,,,Stable
Utterbackiana,Anodontini,Unioninae,Utterbackiana implicata,Pyganodon implicata,Alewife Floater,Not Listed,,,,Stable
Utterbackiana,Anodontini,Unioninae,Utterbackiana suborbiculata,,,,,,,Stable
Gonidea,Gonideini,Gonideinae,Gonidea angulata,Gonidea angulata,western ridged mussel,Under Review,7/27/21,,,Stable
Actinonaias,Lampsilini,Ambleminae,Actinonaias ligamentina,Ortmanniana ligamentina,Mucket,Not Listed,,,,Stable
Actinonaias,Lampsilini,Ambleminae,Actinonaias pectorosa,Ortmanniana pectorosa,pheasantshell,Status Undefined,,,,Stable
Atlanticoncha,Lampsilini,Ambleminae,Atlanticoncha ochracea,Leptodea ochracea,Tidewater Mucket,Not Listed,,,,Stable
Cambarunio,Lampsilini,Ambleminae,Cambarunio dactylus,,,,,,,Stable
Cambarunio,Lampsilini,Ambleminae,Cambarunio hesperus,,,,,,,Stable
Cambarunio,Lampsilini,Ambleminae,Cambarunio iris,Villosa iris,Rainbow,Not Listed,,,,Stable
Cambarunio,Lampsilini,Ambleminae,Cambarunio jonesii,,,,,,,Stable
Cambarunio,Lampsilini,Ambleminae,Cambarunio nebulosus,Villosa nebulosa,Alabama rainbow,Under Review,,,,Stable
Cambarunio,Lampsilini,Ambleminae,Cambarunio simus,,,,,,,Stable
Cambarunio,Lampsilini,Ambleminae,Cambarunio taeniatus,,,,,,,Stable
Cyprogenia,Lampsilini,Ambleminae,Cyprogenia aberti,Cyprogenia aberti,Western fanshell,Threatened,7/27/23,,,Imperiled
Cyprogenia,Lampsilini,Ambleminae,Cyprogenia stegaria,Cyprogenia stegaria,Fanshell,Endangered,6/21/90,,,Imperiled
Cyrtonaias,Lampsilini,Ambleminae,Cyrtonaias tampicoensis,,,,,,,Stable
Dromus,Lampsilini,Ambleminae,Dromus dromas,Dromus dromas,Dromedary pearlymussel,Endangered,6/14/76,,,Imperiled
Ellipsaria,Lampsilini,Ambleminae,Ellipsaria lineolata,Ellipsaria lineolata,Butterfly Mussel,Not Listed,,,,Stable
Epioblasma,Lampsilini,Ambleminae,Epioblasma ahlstedti,Epioblasma ahlstedti,Duck River Dartersnapper,Not Listed,,Listed under Epioblasma capsaeformis,,Imperiled
Epioblasma,Lampsilini,Ambleminae,Epioblasma arcaeformis,Epioblasma arcaeformis,Sugarspoon,Resolved Taxon,,,TRUE,Imperiled
Epioblasma,Lampsilini,Ambleminae,Epioblasma aureola,,,,,Listed under Epioblasma walkeri,,Imperiled
Epioblasma,Lampsilini,Ambleminae,Epioblasma biemarginata,Epioblasma biemarginata,Angled riffleshell,Resolved Taxon,,,TRUE,Imperiled
Epioblasma,Lampsilini,Ambleminae,Epioblasma brevidens,Epioblasma brevidens,Cumberlandian combshell,Endangered,1/10/97,,,Imperiled
Epioblasma,Lampsilini,Ambleminae,Epioblasma capsaeformis,Epioblasma capsaeformis,Oyster mussel,Endangered,1/10/97,,,Imperiled
Epioblasma,Lampsilini,Ambleminae,Epioblasma cincinnatiensis,,,,,,,Stable
Epioblasma,Lampsilini,Ambleminae,Epioblasma curtisii,Epioblasma florentina curtisii,Curtis pearlymussel,Endangered,6/14/76,,TRUE,Imperiled
Epioblasma,Lampsilini,Ambleminae,Epioblasma flexuosa,Epioblasma flexuosa,Leafshell,Resolved Taxon,,,TRUE,Imperiled
Epioblasma,Lampsilini,Ambleminae,Epioblasma florentina,Epioblasma florentina florentina,Yellow blossom (pearlymussel),Extinction,6/14/76,,TRUE,Imperiled
Epioblasma,Lampsilini,Ambleminae,Epioblasma gubernaculum,Epioblasma torulosa gubernaculum,Green blossom (pearlymussel),Extinction,6/14/76,,TRUE,Imperiled
Epioblasma,Lampsilini,Ambleminae,Epioblasma haysiana,Epioblasma haysiana,Acornshell,Resolved Taxon,,,TRUE,Imperiled
Epioblasma,Lampsilini,Ambleminae,Epioblasma lenior,Epioblasma lenior,Narrow catspaw,Resolved Taxon,,,TRUE,Imperiled
